"ID","Year","Contact.Status","Admission.Substatus","Major.Interest","ACT","GPA","Date.App.Submitted","Date.App.Completed","Legacy","Co.Curricular","Gender","Ethnicity","Religious.Preference","HS.Name","City","State","Zip","Number.Campus.Visits","Royal15","Royal.ID","First.Visit","Last.Visit","Ind.Visit","Group.Visit","Schol.Visit","Award.Status","Comprehensive.Cost","Total.Gift","Total.Institutional.Gift","Gross.Need","Scholarship.Status"
"App ID-104405","2014 Fall",": Cancel","Cancel: Admit","",30,3.48,"2/17/2014","2/19/2014","","","Female","White","","Robbinsdale Armstrong HS","Crystal","MN","55422",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"App ID-104454","2014 Fall",": Cancel","Cancel: Deposit","",28,3.47,"2/12/2014","","","","Female","White","","Prior Lake HS","Savage","MN","55378",2,0,NA,2014-03-28,2014-03-28,1,0,0,"Award Complete",41484,13500,13500,9282,NA
"App ID-104569","2014 Fall",": Cancel","Cancel: Admit","Art: Graphic Design",20,3.48,"4/8/2014","","","","Male","White","Other","Marshall Sr HS","Marshall","MN","56258",0,0,20130660,NA,NA,NA,NA,NA,"No Award",41484,0,NA,40932,NA
"App ID-104690","2014 Fall",": Cancel","Cancel: Admit","",21,3.56,"1/30/2014","2/21/2014","","","Male","White","","Litchfield Sr HS","Litchfield","MN","55355",1,0,NA,2013-11-04,2013-11-04,1,0,0,"No Award",41484,0,NA,19700,NA
"App ID-104703","2014 Fall",": Cancel","Cancel: Admit","Food/Nutrition/Dietetics",24,3.64,"12/13/2013","1/8/2014","","","Male","White","","Andover HS","Andover","MN","55304",0,0,NA,NA,NA,NA,NA,NA,"Award Complete",41484,19770,19770,29082,NA
"App ID-104917","2014 Fall",": Deposit","Paid","Exercise Science",32,3.67,"11/19/2013","12/9/2013","","Soccer","Male","White","","Fairview HS","Boulder","CO","80304",3,0,NA,2013-11-18,2014-01-17,1,0,1,"Award Complete",41484,29160,26680,42871,2
"App ID-105037","2014 Fall",": Deposit","Paid","Undecided",20,3.16,"12/17/2013","1/7/2014","","Track & Field","Male","White","","Melrose Area HS","Sauk Centre","MN","56378",3,0,NA,2014-01-09,2014-02-14,2,0,0,"Award Complete",41484,20864,10120,44444,NA
"App ID-105091","2014 Fall",": Cancel","Cancel: Admit","Undecided",24,3.67,"1/6/2014","1/24/2014","","Cross Country; Track & Field","Male","White","","Falls HS","Baudette","MN","56623",0,0,NA,NA,NA,NA,NA,NA,"Award Complete",41484,19600,19600,24504,NA
"App ID-105138","2015 Fall",": Cancel","Cancel: Admit","Chemistry",26,3.91,"12/11/2014","12/22/2014","","","Female","White","","Minto HS","Minto","ND","58261",1,0,NA,2014-12-11,2014-12-11,1,0,0,NA,NA,NA,NA,NA,NA
"App ID-105141","2015 Fall",": Cancel","Cancel: Admit","Nursing",21,3.31,"12/22/2014","1/5/2015","","","Female","White","Roman Catholic","Minto HS","Minto","ND","58261",1,0,NA,2015-01-28,2015-01-28,1,0,0,NA,NA,NA,NA,NA,NA
"App ID-105161","2014 Fall",": Cancel","Cancel: Admit","",23,3.75,"2/18/2014","2/24/2014","","","Female","White","","Century HS","Bismarck","ND","58503",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"App ID-105171","2014 Fall",": Cancel","Cancel: Admit","Elementary Education",22,3.37,"10/31/2013","","","Soccer","Female","White","","Mankato East HS","Mankato","MN","56001",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"App ID-105176","2014 Fall",": Cancel","Cancel: Admit","",20,3.22,"12/4/2013","","","","Female","Black or African-American","","John F Kennedy Sr HS","Bloomington","MN","55420",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"App ID-105193","2014 Fall",": Cancel","Cancel: Admit","Undecided",16,3.33,"1/3/2014","","","","Female","","","South HS","Minneapolis","MN","55413",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"App ID-105270","2014 Fall",": Cancel","Cancel: Admit","Chemistry",33,4,"11/19/2013","11/22/2013","","Band; Debate","Male","White","","Washington HS","Sioux Falls","SD","57110",3,0,NA,2013-10-07,2014-02-03,1,0,2,"Award Complete",41484,23750,23750,29480,3
"App ID-105288","2014 Fall",": Cancel","Cancel: Admit","Business: Healthcare",22,3.1,"4/16/2014","","","","Female","Asian","Buddhist","Park Center Senior High","Brooklyn Park","MN","55443-1669",0,0,20141829,NA,NA,NA,NA,NA,"Award Complete",41484,19150,19150,33032,NA
"App ID-105294","2014 Fall",": Cancel","Cancel: Admit","English Writing",23,3.81,"12/2/2013","12/16/2013","","","Female","White","","Zimmerman HS","Zimmerman","MN","55398",1,0,NA,2013-11-27,2013-11-27,1,0,0,"Award Complete",41484,13000,13000,3097,NA
"App ID-105360","2014 Fall",": Cancel","Cancel: Admit","Nursing",21,3.25,"1/12/2014","","","Volleyball","Female","","","Fergus HS","Lewistown","MT","59457",0,0,NA,NA,NA,NA,NA,NA,"Award Complete",41484,18560,18560,38973,NA
"App ID-105362","2014 Fall",": Cancel","Cancel: Admit","Pre-Medicine",22,3.09,"12/17/2013","1/14/2014","","Photography; Photography; Softball; Soprano; Soprano; Swimming and Diving; Swimming and Diving; Mountaineering/Climbing; Mountaineering/Climbing; Kayaking; Kayaking","Female","White","","Fergus HS","Lewistown","MT","59457",0,0,NA,NA,NA,NA,NA,NA,"Award Complete",41484,25310,21310,44904,NA
"App ID-105375","2014 Fall",": Cancel","Cancel: Admit","Business: Management",21,2.82,"1/15/2014","2/19/2014","","","Male","White","","Willmar Sr HS","Willmar","MN","56201",1,0,NA,2013-10-18,2013-10-18,0,1,0,NA,NA,NA,NA,NA,NA
"App ID-105410","2014 Fall",": Deposit","Paid","Undecided",24,3.96,"1/4/2014","1/27/2014","","Band; Basketball; Track & Field; Volleyball; Religious activity; Leadership","Female","White","","Hazen HS","Hazen","ND","58545",2,0,NA,2014-03-07,2014-03-07,1,0,0,"Award Complete",41484,21250,21250,25925,NA
"App ID-105416","2014 Fall",": Cancel","Cancel: Admit","Undecided",21,3.09,"1/27/2014","1/28/2014","","","Male","","","Davies HS Fargo","Fargo","ND","58104",0,0,NA,NA,NA,NA,NA,NA,"Award Complete",41484,5000,5000,7573,NA
"App ID-105496","2014 Fall",": Cancel","Cancel: Admit","Theatre Art",22,3.22,"11/6/2013","","","","Male","White","","Helena HS","East Helena","MT","59635",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"App ID-105505","2014 Fall",": Cancel","Cancel: Admit","Music",27,4,"11/18/2013","12/7/2013","","","Female","","","Belgrade HS","Belgrade","MT","59714",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"App ID-105593","2014 Fall",": Cancel","Cancel: Admit","English Writing",24,2.97,"11/6/2013","","","","Male","White","","Helena HS","Helena","MT","59602",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"App ID-105618","2014 Fall",": Deposit","Paid","Music Education",32,3.49,"12/2/2013","12/20/2013","","Choir; Theatre","Male","White","","Southwest HS","Priest Lake","ID","83856-9684",3,0,NA,2014-01-23,2014-04-25,1,0,1,"Award Complete",41484,17000,17000,0,3
"App ID-105635","2014 Fall",": Cancel","Cancel: Admit","Math",33,4,"11/12/2013","11/25/2013","","","Female","","","Seeley-Swan HS","Seeley Lake","MT","59868",0,0,NA,NA,NA,NA,NA,NA,"Award Complete",41484,43660,43660,41784,3
"App ID-105699","2014 Fall",": Cancel","Cancel: Admit","Undecided",23,3.45,"11/4/2013","","","","Female","","","Centennial HS","Centerville","MN","55038",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"App ID-105704","2014 Fall",": Cancel","Cancel: Admit","Pre-Medicine",22,3.38,"11/11/2013","11/27/2013","","","Male","White","","Moorhead HS","Moorhead","MN","56560",1,0,NA,2013-11-09,2013-11-09,1,0,0,NA,NA,NA,NA,NA,NA
"App ID-105715","2014 Fall",": Cancel","Cancel: Admit","",23,3.75,"1/15/2014","1/17/2014","","","Male","White","","Jamestown HS","Jamestown","ND","58401",1,0,NA,2013-11-11,2013-11-11,1,0,0,NA,NA,NA,NA,NA,NA
"App ID-105717","2014 Fall",": Deposit","Paid","Music Education",22,2.92,"12/2/2013","","","Choir; Softball; Theatre","Female","White","","Chanhassen HS","Excelsior","MN","55331",2,0,NA,2014-04-11,2014-04-11,1,0,0,"Award Complete",41484,17060,17060,29414,NA
"App ID-105843","2014 Fall",": Cancel","Cancel: Admit","Psychology",23,2.93,"11/18/2013","11/23/2013","","","Female","","","Coon Rapids HS","Coon Rapids","MN","55433",0,0,NA,NA,NA,NA,NA,NA,"No Award",41484,0,NA,41006,NA
"App ID-105867","2014 Fall",": Deposit","Paid","Pre-Medicine",28,3.87,"11/26/2013","12/12/2013","","","Female","White","","Stillwater Christian School","Kalispell","MT","59901-7973",1,0,NA,2014-01-23,2014-01-23,0,0,1,"Award Complete",41484,16500,16500,13214,2
"App ID-105934","2015 Fall",": Cancel","Cancel: Admit","Undecided",19,2.97,"1/29/2015","1/29/2015","","Baseball; Football","Male","White","Prefer not to respond","Princeton HS","Princeton","MN","55371",1,0,NA,2015-01-29,2015-01-29,1,0,0,"No Award",43064,0,NA,34755,NA
"App ID-105934","2015 Fall",": Cancel","Cancel: Admit","Undecided",19,2.97,"1/29/2015","1/29/2015","","Baseball; Football","Male","White","Prefer not to respond","Princeton HS","Princeton","MN","55371",1,0,NA,2015-01-29,2015-01-29,1,0,0,"No Award",43064,0,NA,34755,NA
"App ID-105934","2015 Fall",": Cancel","Cancel: Admit","Undecided",19,2.97,"1/29/2015","1/29/2015","","Baseball; Football","Male","White","Prefer not to respond","Princeton HS","Princeton","MN","55371",1,0,NA,2015-01-29,2015-01-29,1,0,0,"Award Complete",41484,22046,21540,33386,NA
"App ID-105967","2014 Fall",": Deposit","Paid","",27,3.75,"1/29/2014","","","","Male","White","","Moorhead HS","Fargo","ND","58104-4236",1,0,NA,2014-01-13,2014-01-13,1,0,0,NA,NA,NA,NA,NA,NA
"App ID-106095","2014 Fall",": Deposit","Paid","Pre-Physical Therapy",25,3.23,"11/12/2013","12/2/2013","","Wrestling","Male","White","","Staples Motley HS","Staples","MN","56479",3,0,NA,2013-11-14,2014-03-22,1,1,0,"Award Complete",41484,20420,20420,32947,NA
"App ID-106115","2014 Fall",": Deposit","Paid","",27,3.5,"11/7/2013","1/7/2014","","","Female","White","","Moorhead HS","Moorhead","MN","56560",3,0,NA,2014-03-22,2014-05-02,1,1,0,"No Award",41484,0,NA,44474,NA
"App ID-106125","2014 Fall",": Cancel","Cancel: Admit","Accounting",20,3.28,"1/19/2014","1/31/2014","","Baseball; Hockey","Male","White","","Northfield HS","Northfield","MN","55057",0,0,NA,NA,NA,NA,NA,NA,"Award Complete",41484,12570,12570,16769,NA
"App ID-106168","2014 Fall",": Cancel","Cancel: Admit","Undecided",27,3.45,"10/30/2013","11/19/2013","","Soccer","Male","","","Good Hope School","Christiansted","VI","00822",1,0,NA,2013-11-01,2013-11-01,1,0,0,"No Award",41484,0,NA,34813,NA
"App ID-106307","2014 Fall",": Deposit","Paid","History",23,2.95,"11/13/2013","11/20/2013","","Student Government","Male","White","United Pentecostal Church","Mankato East HS","Mankato","MN","56001-5653",2,0,NA,2014-02-10,2014-02-10,1,0,0,"Award Complete",41484,26840,16990,43543,NA
"App ID-106310","2014 Fall",": Cancel","Cancel: Admit","",22,3.35,"11/13/2013","11/26/2013","","Journalism/Writing; Ministry; Service-Learning","Female","White","Lutheran (ELCA)","Moorhead HS","Moorhead","MN","56560-5355",1,0,NA,2013-11-27,2013-11-27,1,0,0,NA,NA,NA,NA,NA,NA
"App ID-106311","2014 Fall",": Deposit","Paid","Music",25,3.16,"11/27/2013","12/7/2013","","Band","Male","White","Lutheran (ELCA)","Moorhead HS","Moorhead","MN","56560-3715",2,0,NA,2014-01-23,2014-01-23,0,0,1,"Award Complete",41484,22216,19870,35687,3
"App ID-106314","2014 Fall",": Cancel","Cancel: Admit","Undecided",20,3.29,"12/3/2013","12/5/2013","","","Female","White","No Affiliation","Sartell HS","St Joseph","MN","56374-4547",1,0,NA,2014-03-26,2014-03-26,1,0,0,"Award Complete",41484,7500,7500,8710,NA
"App ID-106317","2014 Fall",": Deposit","Paid","Music",30,3.95,"10/30/2013","","","Band; Choir; Ministry","Female","White","Catholic","North Kitsap HS","Poulsbo","WA","98370-6301",4,0,NA,2014-01-23,2014-01-27,0,0,2,"Award Complete",41484,21000,21000,19741,3
"App ID-106415","2014 Fall",": Cancel","Cancel: Admit","Undecided",23,3.75,"12/17/2013","","","Football","Male","White","","New London-Spicer HS","New London","MN","56273",3,0,NA,2013-10-12,2014-02-10,3,0,0,"Award Complete",41484,14540,14540,18176,NA
"App ID-106420","2014 Fall",": Cancel","Cancel: Admit","Nursing",20,3.02,"1/8/2014","1/9/2014","","","Male","","","Red River Sr HS","Grand Forks","ND","58201",2,0,NA,2013-10-12,2013-12-09,2,0,0,NA,NA,NA,NA,NA,NA
"App ID-106424","2014 Fall",": Cancel","Cancel: Admit","",22,3.56,"11/6/2013","12/5/2013","","","Male","White","","Foley HS","Foley","MN","56329",1,0,NA,2013-10-07,2013-10-07,1,0,0,"Award Complete",41484,23870,18890,38567,NA
"App ID-106426","2014 Fall",": Deposit","Paid","Business: Management",24,3.83,"10/30/2013","","","","Female","White","","Roosevelt HS","Sioux Falls","SD","57106-1828",2,0,NA,2014-01-17,2014-01-17,1,0,0,"Award Complete",41484,24270,24270,34685,NA
"App ID-106427","2014 Fall",": Cancel","Cancel: Admit","Nursing",21,2.79,"11/11/2013","","","Photography","Male","White","","Farmington Sr HS","Farmington","MN","55024",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"App ID-106491","2014 Fall",": Cancel","Cancel: Admit","Spanish",26,2.63,"11/7/2013","","","","Male","White","","Mankato East HS","Mankato","MN","56001",1,0,NA,2014-03-22,2014-03-22,0,1,0,"Award Complete",41484,25154,16140,44474,NA
"App ID-106494","2014 Fall",": Cancel","Cancel: Admit","Pre-Medicine",22,3.32,"11/8/2013","12/13/2013","","","Female","","","Sibley East Sr HS","Arlington","MN","55307",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"App ID-106496","2014 Fall",": Cancel","Cancel: Admit","Pre-Pharmacy",20,3.91,"11/1/2013","","","","Male","White","","Lincoln Sr HS","Thief River Falls","MN","56701",0,0,NA,NA,NA,NA,NA,NA,"Award Complete",41484,13000,13000,11675,NA
"App ID-106503","2014 Fall",": Deposit","Paid","Nursing",27,3.51,"11/1/2013","","","Baseball; Football","Male","White","Not Reported","Mahtomedi HS","White Bear Lake","MN","55110",1,0,NA,NA,NA,NA,NA,NA,"Award Complete",41484,13500,13500,0,NA
"App ID-106507","2014 Fall",": Cancel","Cancel: Admit","Music: Voice",29,2.94,"11/27/2013","11/27/2013","","","Female","White","","Stillwater Area Sr HS","Stillwater","MN","55082",1,0,NA,2014-01-23,2014-01-23,0,0,1,NA,NA,NA,NA,NA,3
"App ID-106508","2014 Fall",": Cancel","Cancel: Deposit","Pre-Medicine",29,4,"10/31/2013","11/19/2013","","","Female","White","","Fosston HS","Fosston","MN","56542",1,0,NA,2013-11-21,2013-11-21,1,0,0,"Award Complete",41484,22990,22990,32844,NA
"App ID-106510","2014 Fall",": Cancel","Cancel: Admit","Communication: Mass Media",27,3.81,"11/7/2013","","","","Female","White","","John Marshall HS","Rochester","MN","55901",1,0,NA,2014-01-24,2014-01-24,0,0,1,NA,NA,NA,NA,NA,3
"App ID-106512","2014 Fall",": Deposit","Paid","History",26,3.32,"4/2/2014","4/14/2014","","","Male","White","","Litchfield Sr HS","Grove City","MN","56243",3,0,NA,2014-03-26,2015-10-31,1,1,0,"Award Complete",41484,18750,18750,27124,NA
"App ID-106513","2014 Fall",": Cancel","Cancel: Admit","English Writing",23,3.36,"1/6/2014","1/7/2014","","","Female","Asian","","Saint Francis HS","Cedar","MN","55011",0,0,NA,NA,NA,NA,NA,NA,"No Award",41484,0,NA,44474,NA
"App ID-106514","2014 Fall",": Cancel","Cancel: Admit","Pre-Medicine",24,3.87,"11/12/2013","11/12/2013","","","Female","","","Sibley East Sr HS","Arlington","MN","55307",1,0,NA,2014-03-22,2014-03-22,0,1,0,"Award Complete",41484,23481,22870,34295,NA
"App ID-106515","2014 Fall",": Cancel","Cancel: Admit","Nursing",22,3.27,"11/18/2013","12/27/2013","","Cross Country; Track & Field","Male","White","","Gardiner HS","Gardiner","MT","59030",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"App ID-106529","2014 Fall",": Cancel","Cancel: Deposit","Psychology",21,3.45,"10/30/2013","12/12/2013","","","Male","White","","Lincoln Sr HS","Thief River Falls","MN","56701",1,0,NA,NA,NA,NA,NA,NA,"Award Complete",41484,14910,14910,10762,NA
"App ID-106532","2014 Fall",": Cancel","Cancel: Admit","Business: Management",23,2.65,"11/1/2013","12/3/2013","","","Male","White","","Sartell HS","Sartell","MN","56377",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"App ID-106535","2014 Fall",": Cancel","Cancel: Admit","Undecided",31,4,"11/12/2013","11/12/2013","","","Male","White","","Barnesville HS","Moorhead","MN","56560",1,0,NA,2014-01-27,2014-01-27,0,0,1,"Award Complete",41484,23750,23750,32125,3
"App ID-106536","2014 Fall",": Deposit","Paid","Health",24,3.94,"11/12/2013","11/12/2013","","","Female","White","","Princeton HS","Princeton","MN","55371",3,0,NA,2013-11-06,2014-07-15,2,0,0,"Award Complete",41484,21250,21250,15202,NA
"App ID-106538","2014 Fall",": Cancel","Cancel: Admit","Undecided",26,3.84,"10/30/2013","11/18/2013","","","Male","","","Lincoln Sr HS","Thief River Falls","MN","56701",0,0,NA,NA,NA,NA,NA,NA,"Award Complete",41484,21250,21250,26594,NA
"App ID-106543","2014 Fall",": Cancel","Cancel: Admit","Nursing",27,3.83,"11/8/2013","","","","Female","White","","Andover HS","Andover","MN","55304",0,0,NA,NA,NA,NA,NA,NA,"Award Complete",41484,15500,15500,0,NA
"App ID-106544","2014 Fall",": Cancel","Cancel: Admit","Physical Education",23,3.43,"11/1/2013","12/3/2013","","","Male","White","","Big Lake HS","Big Lake","MN","55309",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"App ID-106549","2014 Fall",": Cancel","Cancel: Admit","Business - Organizational Leadership",28,3.11,"11/1/2013","11/22/2013","","","Female","Asian; White","","Mounds View HS","Arden Hills","MN","55112",1,0,NA,2014-03-22,2014-03-22,0,1,0,"Award Complete",41484,20330,20330,31550,NA
"App ID-106556","2014 Fall",": Cancel","Cancel: Admit","",18,3.39,"11/14/2013","11/19/2013","","Alto","Female","","","Annandale HS","Big Lake","MN","55309",2,0,NA,2014-02-21,2014-03-26,2,0,0,NA,NA,NA,NA,NA,NA
"App ID-106610","2011 Fall",": Cancel","Cancel: Deposit","Pre-Dentistry",30,4,"10/25/2010","","","Art; Ministry; Service-Learning","Male","White","Lutheran (ELCA)","Helena HS","Helena","MT","59601-5808",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"App ID-106611","2011 Fall",": Deposit","Paid","Undecided",24,3.83,"12/16/2010","","","Cross Country; Hockey","Male","White","Christian","Cambridge-Isanti HS","Harris","MN","55032",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
